Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),Specific Carbon Emission (kg/kWh),Specific Carbon Emission Reduction (%),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%),Specific Carbon Emission_DG (kg/kWh)
-22.0939,140.5736,AUS.QLD.333785,15625,33000,17000,5000,1017,3193979025,908132530.4,1737842602,548003893.4,-9827.039057,358668.5482,0.182,74%,102046755.6,0.216161671,25150,5.68E-10,1969558248,16662507.54,0,2.89E-17,100,25,83%,
-20.7216,139.4782,AUS.QLD.333873,16550,31000,17000,5000,5315,3116902914,939034957.7,1601748220,576119736.2,-43124.537,377070.3674,0.191,73%,103012091.7,0.218206505,10225,1.02E-09,1969558248,16940025.33,0,5.19E-17,100,25,82%,
-21.545,140.497,AUS.QLD.335859,16651,34000,17000,5000,6796,3290693026,958300194.1,1802026808,530366023.9,-40971.90257,347124.5626,0.176,75%,101151343.4,0.214264954,9925,1.23E-09,1969558248,16064392.2,0,6.23E-17,100,25,84%,
-19.474,139.3889,AUS.QLD.335937,17956,30000,17000,5000,1066,3102335648,1017837207,1488384841,596113599.6,-10488.08727,390156.3509,0.198,72%,104833661.4,0.222065065,23275,9.32E-10,1969558248,16791229.58,0,4.73E-17,100,25,81%,
-21.2785,140.5052,AUS.QLD.335949,21227,6000,17000,9000,1783,2548540101,1231364883,353953104.5,963222112.9,-17096.53776,630428.8729,0.320,54%,123142389.7,0.260847731,44450,1.85E-09,1969558248,35131170.82,0,9.41E-17,100,25,62%,
-20.1656,139.4582,AUS.QLD.334842,23598,9000,17000,5000,2406,2728127003,1347945514,493686891.1,886494597.9,-26101.98311,580210.7143,0.295,58%,119507475,0.253148033,24200,2.31E-09,1969558248,21047092.14,0,1.17E-16,100,25,68%,
-18.609,143.993,AUS.QLD.334950,24201,9000,17000,5000,2474,2720071235,1345636204,469094630.6,905340400.7,-30373.68058,592545.2923,0.301,57%,121549120.6,0.257472771,25100,2.40E-09,1969558248,21146669.74,0,1.22E-16,100,25,67%,
-20.7187,140.6487,AUS.QLD.334977,22587,6000,17000,9000,1778,2606287632,1293917288,339794379.7,972575964.1,-16177.64491,636550.9685,0.323,54%,124580712.6,0.263894475,42725,2.00E-09,1969558248,32889357.65,0,1.02E-16,100,25,63%,
-32.2205,147.448,AUS.NSW.467218,18633,31000,17000,5000,7093,3019957044,930787957.6,1455484149,633684937.1,-43955.26856,414746.7913,0.211,70%,110842590.7,0.234793546,11100,1.21E-09,1969558248,16039768.24,0,6.12E-17,100,25,79%,
-29.3469,151.5477,AUS.NSW.467228,19978,31000,17000,6000,1000,2879511500,962701857.7,1235356151,681453491.6,-9971.422108,446011.3102,0.226,68%,116310177.4,0.246375322,25875,5.00E-10,1969558248,18063134.9,0,2.54E-17,100,25,76%,
-31.5303,146.6862,AUS.NSW.529220,18448,31000,17000,6000,5544,3015452206,956151286.3,1435701755,623599164.7,-49585.30931,408145.6533,0.207,70%,109911974.9,0.232822258,12125,1.57E-09,1969558248,18922324.71,0,7.97E-17,100,25,79%,
-20.4447,140.7058,AUS.QLD.334994,21131,7000,17000,8000,1873,2555879941,1209814768,395754396.6,950310776.2,-18969.45116,621978.4031,0.316,55%,122938975.7,0.260416847,37725,1.90E-09,1969558248,30511473.5,0,9.64E-17,100,25,63%,
-20.2545,140.1558,AUS.QLD.335006,23648,7000,17000,9000,1960,2679523352,1348033002,394219550.8,937270798.7,-19059.5163,613443.7377,0.311,56%,123007968.4,0.260562992,39025,2.52E-09,1969558248,34101942.9,0,1.28E-16,100,25,65%,
-20.5636,139.9752,AUS.QLD.335227,17392,31000,17000,5000,3883,3173744286,992140828.8,1603187603,578415853.9,-42193.96387,378573.1764,0.192,73%,103715165.8,0.219695799,11275,1.05E-09,1969558248,16526967.62,0,5.31E-17,100,25,82%,
-19.486,133.9023,AUS.NT.335010,22056,7000,17000,8000,1774,2591528958,1261714128,441080726.9,888734103.2,-18280.3263,581676.4705,0.295,58%,118984214,0.252039629,37250,2.30E-09,1969558248,34801053.95,0,1.17E-16,100,25,66%,
